"location","source","expert","n_tv","mean_tv","sd_tv","n_ms","mean_ms","sd_ms","d_diff","t","df","p.value","yi","vi","sei"
"ashland","ashland",1,28,1.88095238095238,1.75497947818254,28,1.14285714285714,1.93181841760272,-0.399939274632052,-1.49643574118803,53.5098211397355,0.140415542404086,-0.394354383001717,0.0728171016017202,0.26984644078016
"byui","byui",1,41,1.77235772357724,2.0594484488035,40,2.65,2.05750658160146,0.426354998931559,1.91846244887872,78.9542847178987,0.058667167257351,0.422289799161888,0.0504910381893291,0.224702109890693
"cnj","cnj",1,59,1.17514124293785,1.96556167301727,75,1.56888888888889,1.7030032942482,0.214112642660651,1.22007120891087,115.232314003089,0.224928954242619,0.214754999726022,0.0304545743455097,0.174512390234933
"kansas","kansas_expert",1,18,1.07407407407407,2.30814289029804,25,0.893333333333333,2.51241362482817,-0.074920265420797,-0.244052139413325,38.5198982709727,0.808485682293251,-0.0730145433791338,0.0956175453642168,0.309220868254742
"occid","occid",1,42,0.329365079365079,1.66279554303522,46,0.518115942028985,2.26465822261794,0.0950095637483693,0.448234823762971,82.3268997348768,0.655161172229185,0.0935290752825911,0.0455983570165974,0.213537718018615
"pace","pace_expert",1,53,1.33333333333333,1.8935337560947,53,1.17610062893082,2.04709902472487,-0.0797402139316889,-0.410487875001924,103.373952739961,0.682297666848018,-0.0791635466283588,0.0377654097505414,0.194333244069411
"riverside","riverside",1,52,0.794871794871795,1.67664184307544,55,0.73030303030303,1.7184818729403,-0.0380332897942807,-0.196700338361238,104.892718536311,0.844442660519306,-0.0377475798718679,0.0374192457293453,0.193440548307084
"uwmadison","uwmadison_expert",1,39,0.94017094017094,1.72167434293188,40,0.908333333333333,2.15891116906126,-0.0163054872459047,-0.0725596268372427,74.1096958145051,0.942352029251991,-0.0161227838188421,0.050642670857216,0.225039265145476
"vcu","vcu",1,42,1.32539682539683,1.14879009108593,61,1.30054644808743,1.99137484429522,-0.0152866905319021,-0.0800246941671057,98.3829051679535,0.936380172473553,-0.0145052076016554,0.0402039877967832,0.200509320972326
