"location","source","expert","n_tv","mean_tv","sd_tv","n_ms","mean_ms","sd_ms","d_diff","t","df","p.value","yi","vi","sei"
"ashland","ashland",1,28,1.88095238095238,1.75497947818254,28,1.14285714285714,1.93181841760272,-0.399939274632052,-1.49643574118803,53.5098211397355,0.140415542404086,-0.394354383001717,0.0728171016017202,0.26984644078016
"byui","byui",1,41,1.77235772357724,2.0594484488035,40,2.65,2.05750658160146,0.426354998931559,1.91846244887872,78.9542847178987,0.058667167257351,0.422289799161888,0.0504910381893291,0.224702109890693
"cnj","cnj",1,59,1.17514124293785,1.96556167301727,75,1.56888888888889,1.7030032942482,0.214112642660651,1.22007120891087,115.232314003089,0.224928954242619,0.214754999726022,0.0304545743455097,0.174512390234933
"illinois","illinois",0,45,-0.785185185185185,1.78398537436189,44,0.606060606060606,1.99776713506786,0.734594955731884,3.46266707152835,85.4364121002455,0.000837947365546792,0.728713071239851,0.0479327687708198,0.218935535651067
"ithaca","ithaca",0,39,0.11965811965812,1.85983584053168,42,0.0555555555555555,2.66861378777987,-0.0278700361145117,-0.126140321953562,73.4322025756625,0.899965586903612,-0.0274248025671858,0.0494551921653386,0.222385233694458
"kansas","kansas_expert",1,18,1.07407407407407,2.30814289029804,25,0.893333333333333,2.51241362482817,-0.074920265420797,-0.244052139413325,38.5198982709727,0.808485682293251,-0.0730145433791338,0.0956175453642168,0.309220868254742
"kansas","kansas_inhouse",0,40,1.31666666666667,3.02971983510065,35,1.20952380952381,3.035827152293,-0.0353283234154394,-0.15262555749027,71.6456997651105,0.879122587398913,-0.0349663161751231,0.053579579526541,0.231472632348926
"occid","occid",1,42,0.329365079365079,1.66279554303522,46,0.518115942028985,2.26465822261794,0.0950095637483693,0.448234823762971,82.3268997348768,0.655161172229185,0.0935290752825911,0.0455983570165974,0.213537718018615
"pace","pace_expert",1,53,1.33333333333333,1.8935337560947,53,1.17610062893082,2.04709902472487,-0.0797402139316889,-0.410487875001924,103.373952739961,0.682297666848018,-0.0791635466283588,0.0377654097505414,0.194333244069411
"pace","pace_inhouse",0,34,2.19607843137255,5.93291205351466,24,0.111111111111111,5.32577967499012,-0.369837357288908,-1.40025073502148,52.7388256626473,0.167294081829222,-0.361404650046944,0.0722044082783728,0.268708779682341
"plu","plu",0,28,0.488095238095238,1.71049085164368,27,-0.222222222222222,2.22457140787118,-0.357977787708456,-1.32410897359442,48.8170926176909,0.191633423128753,-0.353742377106749,0.0738889015636967,0.271825130485937
"riverside","riverside",1,52,0.794871794871795,1.67664184307544,55,0.73030303030303,1.7184818729403,-0.0380332897942807,-0.196700338361238,104.892718536311,0.844442660519306,-0.0377475798718679,0.0374192457293453,0.193440548307084
"sou","sou_inhouse",0,7,-1.19047619047619,1.8743605611588,9,0.148148148148148,1.37549093368222,0.814268655617572,1.58630043025512,10.6743766138346,0.141826328518607,0.786758612656708,0.273311663799176,0.522792180315636
"ufl","ufl",0,38,0.868421052631579,1.23643261349456,60,0.922222222222222,1.17629868394387,0.0445838848095474,0.213853992621857,75.9301075351491,0.831234140307556,0.0444891896109728,0.0429925545484746,0.207346460178308
"upenn","upenn",0,45,-0.155555555555556,1.7532077383292,41,0.195121951219512,2.23479505617169,0.174597779703071,0.804260330127837,75.7762060516094,0.423762679236047,0.174022569822426,0.0467885350479613,0.21630657652499
"uwmadison","uwmadison_expert",1,39,0.94017094017094,1.72167434293188,40,0.908333333333333,2.15891116906126,-0.0163054872459047,-0.0725596268372427,74.1096958145051,0.942352029251991,-0.0161227838188421,0.050642670857216,0.225039265145476
"uwmadison","uwmadison_inhouse",0,36,-0.740740740740741,2.05033657494245,32,-0.927083333333333,1.77342868003033,-0.0972109293693628,-0.401823288110018,65.9573614959414,0.689113179479722,-0.0956844992173435,0.0590950978027077,0.243094832941195
"vcu","vcu",1,42,1.32539682539683,1.14879009108593,61,1.30054644808743,1.99137484429522,-0.0152866905319021,-0.0800246941671057,98.3829051679535,0.936380172473553,-0.0145052076016554,0.0402039877967832,0.200509320972326
"wesleyan","wesleyan_inhouse",0,53,-0.559748427672956,1.81608857528262,42,-0.222222222222222,1.46257127159006,0.204706271905839,1.00336505667588,92.9679549875438,0.31828918296952,0.200537821975908,0.042889108432788,0.207096857612056
"wpi","wpi",0,70,0.542857142857143,1.95288417827495,71,0.511737089201878,1.60932894021917,-0.0173916174127097,-0.103184506068681,133.387051150084,0.917971509085233,-0.0173094838838437,0.028371283803969,0.16843777427872
