"location","source","expert","n_tv","mean_tv","sd_tv","n_ms","mean_ms","sd_ms","d_diff","t","df","p.value","yi","vi","sei"
"byui","byui",1,41,1.77235772357724,2.0594484488035,40,2.65,2.05750658160146,0.426354998931559,1.91846244887872,78.9542847178987,0.058667167257351,0.422289799161888,0.0504910381893291,0.224702109890693
"cnj","cnj",1,60,1.14444444444444,1.96328510071558,75,1.56888888888889,1.7030032942482,0.230957751071487,1.32309123939913,117.470890116377,0.188374663651644,0.231504203473335,0.0301984970230586,0.173777147585805
"illinois","illinois",0,44,-0.78030303030303,1.8043060492815,43,0.643410852713178,2.00580552745113,0.746291571193916,3.47813451187195,83.6170980943584,0.000804028829869831,0.740143327092364,0.049131432339608,0.221656112795492
"ithaca","ithaca",0,38,0.140350877192982,1.88024594095631,42,0.0555555555555555,2.66861378777987,-0.0367344029793314,-0.165473777565203,73.7367489863694,0.869023930944199,-0.0360699603255513,0.0501334447959448,0.223904990556139
"kansas","kansas_inhouse",0,40,1.31666666666667,3.02971983510065,35,1.20952380952381,3.035827152293,-0.0353283234154394,-0.15262555749027,71.6456997651105,0.879122587398913,-0.0349663161751231,0.053579579526541,0.231472632348926
"occid","occid",1,42,0.329365079365079,1.66279554303522,46,0.518115942028985,2.26465822261794,0.0950095637483693,0.448234823762971,82.3268997348768,0.655161172229185,0.0935290752825911,0.0455983570165974,0.213537718018615
"pace","pace_expert",1,53,1.33333333333333,1.8935337560947,53,1.17610062893082,2.04709902472487,-0.0797402139316889,-0.410487875001924,103.373952739961,0.682297666848018,-0.0791635466283588,0.0377654097505414,0.194333244069411
"pace","pace_inhouse",0,34,2.19607843137255,5.93291205351466,24,0.111111111111111,5.32577967499012,-0.369837357288908,-1.40025073502148,52.7388256626473,0.167294081829222,-0.361404650046944,0.0722044082783728,0.268708779682341
"plu","plu",0,28,0.488095238095238,1.71049085164368,27,-0.222222222222222,2.22457140787118,-0.357977787708456,-1.32410897359442,48.8170926176909,0.191633423128753,-0.353742377106749,0.0738889015636967,0.271825130485937
"riverside","riverside",1,52,0.794871794871795,1.67664184307544,55,0.73030303030303,1.7184818729403,-0.0380332897942807,-0.196700338361238,104.892718536311,0.844442660519306,-0.0377475798718679,0.0374192457293453,0.193440548307084
"ufl","ufl",0,36,0.898148148148148,1.25437505959081,58,0.879310344827586,1.15250092643224,-0.015639319986599,-0.072990544936215,69.5601915233929,0.942023119656775,-0.0156705538656836,0.045020463291625,0.212180261314819
"upenn","upenn",0,45,-0.155555555555556,1.7532077383292,41,0.195121951219512,2.23479505617169,0.174597779703071,0.804260330127837,75.7762060516094,0.423762679236047,0.174022569822426,0.0467885350479613,0.21630657652499
"uwmadison","uwmadison_expert",1,39,0.94017094017094,1.72167434293188,40,0.908333333333333,2.15891116906126,-0.0163054872459047,-0.0725596268372427,74.1096958145051,0.942352029251991,-0.0161227838188421,0.050642670857216,0.225039265145476
"uwmadison","uwmadison_inhouse",0,36,-0.740740740740741,2.05033657494245,32,-0.927083333333333,1.77342868003033,-0.0972109293693628,-0.401823288110018,65.9573614959414,0.689113179479722,-0.0956844992173435,0.0590950978027077,0.243094832941195
"vcu","vcu",1,42,1.32539682539683,1.14879009108593,61,1.30054644808743,1.99137484429522,-0.0152866905319021,-0.0800246941671057,98.3829051679535,0.936380172473553,-0.0145052076016554,0.0402039877967832,0.200509320972326
"wesleyan","wesleyan_inhouse",0,53,-0.559748427672956,1.81608857528262,41,-0.211382113821138,1.47903139768524,0.210346197530523,1.02467659867373,91.7314124888388,0.308210396152844,0.20592465376886,0.0434837267447293,0.20852752035338
"wpi","wpi",0,68,0.529411764705882,1.95914769274352,71,0.511737089201878,1.60932894021917,-0.00985874831808603,-0.0579815465214513,129.723919511078,0.953852545792936,-0.00982557544599992,0.0287907366683344,0.169678332937162
